"Company_name","Company_activity","Company_url","Company_url_url","Company_geography","Company_employees","Company_AIuse","Company_min","Company_logo","Company_logo_url"
"Business Automatics JSC","Custom Software Development, IT Consulting and R&D","Visit Website","http://ba-devlab.com/","Kharkiv, Ukraine","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/ba_logo_big_0.jpg","https://clutch.co/profile/business-automatics-jsc"
"Zumosun Soft Invention Pvt. Ltd","Single window platform for all your requirements","Visit Website","https://www.zumosun.com/","Jaipur, India","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/573f1619e215de0d9c8d0341ed9d5048.png","https://clutch.co/profile/zumosun-soft-invention"
"SysQuo Innovation Pvt Ltd","Empowering Business with technology","Visit Website","https://sysquoinnovation.com/","Gautam Buddha Nagar, India","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/391d389423411a17c0ec87bf5abe2466.png","https://clutch.co/profile/sysquo-innovation"
"Builder.ai","What would you build?","Visit Website","https://www.builder.ai/","London, United Kingdom","250 - 999","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/004e3b899117f3f6cf7d1e344950a8db.jpg","https://clutch.co/profile/builderai"
"Multipz Technology","Let’s Make It Simple","Visit Website","https://www.multipz.com/","Ahmedabad, India","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_490.png","https://clutch.co/profile/multipz-technology"
"Humansee Labs LLC","World-class software solutions for your business","Visit Website","https://humanseelabs.com/","Minsk, Belarus","50 - 249","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_head.png","https://clutch.co/profile/humansee-labs"
"ABstract Solutions","We are the bridge between your idea and technology","Visit Website","https://www.abstractsolutions.com.ar/","Martínez, Argentina","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4916745bddf770c622d5cffd990d2d39.png","https://clutch.co/profile/abstract-solutions"
"Eden Tech Labs","Build apps with one of the best teams","Visit Website","https://www.edentechlabs.io/","Sofia, Bulgaria","10 - 49","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d692294ed7e07cbb8b76da7607c9ba06.jpeg","https://clutch.co/profile/eden-tech-labs"
"Core Studio","Your business partner.","Visit Website","https://corestudio.al/","Shkodër, Albania","10 - 49","15% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/6cccf7d230299058d00fa52251784a64.jpeg","https://clutch.co/profile/core-studio"
"Awakening Vector Inc.","Working hard","Visit Website","https://awkvect.com/","Ürümqi, China","10 - 49","20% Artificial Intelligence","Undisclosed","https://clutch.co/developers/artificial-intelligence?page=15","https://clutch.co/profile/awakening-vector"
"CloudNesil","Software Development Consultancy","Visit Website","https://cloudnesil.com/?utm_source=clutch.co&utm_medium=referral","Denizli, Turkey","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/368782f.png","https://clutch.co/profile/cloudnesil"
"Effective","You Deserve a Technology Partner That Delivers.","Visit Website","http://effectivemade.com/","Austin, TX","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/6d45fe60f95a414c9394c6ffea06046f.png","https://clutch.co/profile/effective"
"KPITENG","DIGITAL TRANSFORMATION","Visit Website","http://www.kpiteng.com/","Ahmedabad, India","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/6e17201d09e5dca1219ea92fffe141f9.png","https://clutch.co/profile/kpiteng"
"InMinz","Best Mobile Application Development Services","Visit Website","https://inminz.com/requirement.php","Bhopal, India","10 - 49","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/f738d2121df8bdb6c0f501ae7e284daa.jpeg","https://clutch.co/profile/inminz"
"RIGHTVOWS TECHNOLOGIES","Deliver the Best, at ease","Visit Website","https://rightvowstech.com/","Kochi, India","2 - 9","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/whatsapp_image_2018-04-24_at_3.00.31_pm.jpeg","https://clutch.co/profile/rightvows-technologies"
"Repozitory Technologies","The Future Is Digital.","Visit Website","http://repozitory.com/","Hisar, India","2 - 9","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_1_29.png","https://clutch.co/profile/repozitory-technologies"
"Pratiti Technologies","Crafting Digital Journeys","Visit Website","https://www.pratititech.com/","Pune, India","50 - 249","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/aca8c71832be4db5a1ce45c718e51950.png","https://clutch.co/profile/pratiti-technologies"
"Saburly","Patiently building the future","Visit Website","http://saburly.com/","Sarajevo, Bosnia and Herzegovina","2 - 9","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/5b5b5113f67a11183e802a04ca50f200.jpeg","https://clutch.co/profile/saburly"
"Suntech Information Technologies(Pvt) Ltd. - Save 50% cost on your next project, while maintaining high quality","Offshore Outsourcing Software development Company","Visit Website","http://www.suntechit.lk/","Malabe, Sri Lanka","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/820f2c1d6dd41d98ed2b03b249f3ee2e.jpeg","https://clutch.co/profile/suntech-information-technologiespvt-save-50-cost-your-next-project-while-maintaining-high"
"Dutytaker","Let’s get competitive edge over your competitors","Visit Website","https://dutytaker.com/","Manchester, United Kingdom","10 - 49","15% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/a258d8f1a6e176cfc8c153cd096b83ab.png","https://clutch.co/profile/dutytaker"
"Apptware","Empowering Innovation","Visit Website","https://apptware.com/","Pune, India","50 - 249","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4595a8e38db6ee51a4af8270e11fd99f.jpeg","https://clutch.co/profile/apptware"
"Techrefic Technologies Pvt. Ltd.","Applying AI and Data Science to Real Life","Visit Website","https://www.techrefic.com/","Indore, India","10 - 49","30% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/359ed4e8d46bd996e5b919a71ad0f2d1.png","https://clutch.co/profile/techrefic-technologies"
"Genico","We Build Value With Software","Visit Website","https://genico.us/","Aventura, FL","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d969b60b29e49a7fad49d3d6acdf6dfb.png","https://clutch.co/profile/genico"
"Software Outsourcing Services (SOS) Ltd","An international team of technology enthusiasts","Visit Website","http://www.s-o-services.com/","Maidenhead, United Kingdom","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/9ff4888b56812be78497933652eb2061.png","https://clutch.co/profile/software-outsourcing-services-sos"
"STRATAGEM Ventures","Skyrocket Your Business Growth","Visit Website","http://www.stratagemven.com/","Lahore, Pakistan","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/7cdfdda2f71b23f522df7cba1500c0a2.jpeg","https://clutch.co/profile/stratagem-ventures"
"Open Tangerine Software House","Quality in every byte","Visit Website","http://opentangerine.com/","Poland","10 - 49","15% Artificial Intelligence","$100,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logotype-tangerine-rect.png","https://clutch.co/profile/open-tangerine-software-house"
"Eastsource","Software outsourcing consultancy","Visit Website","https://www.eastsource.tech/","Den Haag, Netherlands","2 - 9","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/vertical-blue617x419.jpg","https://clutch.co/profile/eastsource"
"innovAgile","High Quality Software Development","Visit Website","https://www.innovagile.com/","Poznań, Poland","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/innovagile-small.png","https://clutch.co/profile/innovagile"
"ROI Express","Fast and affordable software development","Visit Website","https://roiexpress.com/","Los Angeles, CA","2 - 9","20% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/screenshot_2019-06-24_at_18.26.43_0.png","https://clutch.co/profile/roi-express"
"SAYYES MEDIA SOLUTIONS - SYMSWEB","A DIGITAL AGENCY SHAPING IDEAS INTO PRODUCTS","Visit Website","https://www.symsweb.com/","Ahmedabad, India","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/59dcccaa902fdec4c645f53a54dce3cd.png","https://clutch.co/profile/sayyes-media-solutions-symsweb"
"ScaleUP","Your Software Development Partner","Visit Website","https://www.scaleup.ba/","Sarajevo, Bosnia and Herzegovina","2 - 9","15% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/642761e0708992ed8bb15f09b9c4ba50.jpeg","https://clutch.co/profile/scaleup"
"Adstuck Consulting","Transformed Experiences. Accelerate Performance.","Visit Website","https://adstuck.com/","Gurugram, India","10 - 49","10% Artificial Intelligence","$50,000+","https://clutch.co/developers/artificial-intelligence?page=16","https://clutch.co/profile/adstuck-consulting"
"AppWish","Polish Software House - hire us online","Visit Website","https://www.appwish.pl/","Warszawa, Poland","2 - 9","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/70ed0b392c9cfbd85268c715ea1d5af9.png","https://clutch.co/profile/appwish"
"Tech Tinderbox","Empowering Innovation","Visit Website","http://www.techtinderbox.com/","Hyderabad, India","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/dec6f345c990905f188aaa8ecbba29d0.jpg","https://clutch.co/profile/tech-tinderbox"
"RevCode.","We bring your ideas to the code","Visit Website","https://revcode.it/","Wroclaw, Poland","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_968.png","https://clutch.co/profile/revcode"
"Lömo","We are Lömo","Visit Website","https://wearelomo.com/","Buenos Aires, Argentina","2 - 9","20% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/676a5b233f2cc711a149bf3a246607d4.png","https://clutch.co/profile/l%C3%B6mo"
"Bartonova","COMPLEX DATA SERVICES & SOFTWARE DEVELOPMENT","Visit Website","https://bartonova.solutions/","Odry, Czech Republic","2 - 9","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/1366fd6a8028f0cee416607dea0801ff.png","https://clutch.co/profile/bartonova"
"Softgreat","Software development teams","Visit Website","http://www.softgreat.com/","Minsk, Belarus","50 - 249","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/sddwe.jpg","https://clutch.co/profile/softgreat"
"Coders Region","Salesforce Certified Developers and Partners","Visit Website","http://www.codersregion.com/","Lahore, Pakistan","Freelancer","10% Artificial Intelligence","$5,000+","https://clutch.co/developers/artificial-intelligence?page=16","https://clutch.co/profile/coders-region"
"The Straight Up Technologies","Creating Digital Immersive Experiences","Visit Website","https://www.thestraightuptech.com/","Udaipur, India","2 - 9","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/cd288282a04d44f70cd7399919c84f16.png","https://clutch.co/profile/straight-technologies"
"Tekbees Inc","Developing Innovation","Visit Website","https://www.tekbees.com/","Bogotá, Colombia","10 - 49","15% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/733dbf44d5703dcba357ddc158729c53.png","https://clutch.co/profile/tekbees"
"Koukio Solutions","Nearshoring Software Development Company","Visit Website","https://koukio.com/","València, Spain","10 - 49","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/cropped-logo-koukio-provide-antiguo-7_2.png","https://clutch.co/profile/koukio-solutions"
"Mckinley & Rice Inc.","Tech Has No Borders","Visit Website","https://mckinleyrice.com/","Seoul, South Korea","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/7dcf33bc476910a41054869da88204b0.png","https://clutch.co/profile/mckinley-rice"
"Appsder IT Solutions","Delivering state of the art Apps","Visit Website","http://www.appsder.com/","Jaipur, India","250 - 999","15% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/200x100_1.png","https://clutch.co/profile/appsder-it-solutions"
"Linearloop Pvt. LTD","Innovative Web and Mobile Apps Development Company","Visit Website","https://linearloop.io/","Ahmedabad, India","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/e3a7b29778ee6835e34a3681acd574cb.jpeg","https://clutch.co/profile/linearloop"
"BlazingTrail Pvt Ltd","Technopreneur's Company","Visit Website","http://www.blazingtrail.in/","","2 - 9","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4498_1.jpg","https://clutch.co/profile/blazingtrail"
"Skillforce.pl Sp. z o.o.","Image processing, AI and neural networks experts","Visit Website","http://skillforce.pl/","Gliwice, Poland","10 - 49","25% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/0_354.png","https://clutch.co/profile/skillforcepl-sp-z-oo"
"BAPits","Break Analyze Process Integrate Train Support","Visit Website","http://www.bapits.com/","Paris, France","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/e6ad30f432230eefe221d01ab0b6451d.png","https://clutch.co/profile/bapits"
"Palaemon Systems Inc.","Software to minimize work and maximize success!","Visit Website","https://palaemonsystems.com/contact-us/","Pickering, Canada","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/b4efa808f90734995688164838045d8b.jpeg","https://clutch.co/profile/palaemon-systems"
"OraxTech","Best Mobile & Web Development Company","Visit Website","https://oraxtech.com/","Lahore, Pakistan","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/135381b2bae256020ba955186f0bdaaa.jpeg","https://clutch.co/profile/oraxtech"
"SOFTVAN","IT DREAMS TO REALITY","Visit Website","https://softvan.in/","Ahmedabad, India","50 - 249","35% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/41f8f67fb75a632bfc63825939e15a7b.png","https://clutch.co/profile/softvan"
"Sky Tether","Delivering Cutting Edge IT Solutions Affordably","Visit Website","http://skytether.tech/","Islamabad, Pakistan","10 - 49","20% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/8c0d4f30aa8de9f9c0f23003933d74f0.png","https://clutch.co/profile/sky-tether"
"Agrello Technology Private Limited","Expanding Opportunities","Visit Website","https://agrellotech.com/","Bengaluru, India","10 - 49","10% Artificial Intelligence","$1,000+","https://clutch.co/developers/artificial-intelligence?page=16","https://clutch.co/profile/agrello-technology-private"
"UtterCode Software & Services","You just name it we will make it.","Visit Website","https://uttercode.com/","Jalgaon, India","2 - 9","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/8e024fb2cca905fb3bd95d9d3c66c2fa.jpeg","https://clutch.co/profile/uttercode-software-services"
"DoIT Software","Strength of intellect&interdisciplinary teams","Visit Website","https://www.doitsoftware.pl/en/","Gliwice, Poland","2 - 9","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/icon_31.png","https://clutch.co/profile/doit-software-0"
"NineStack","Web,App Development,IOT,AI,Gaming","Visit Website","https://ninestack.com/","Penha de França, India","50 - 249","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/f87257e5910125c1c133f6f3e60ad5f9.png","https://clutch.co/profile/ninestack"
"Derevo S.A. de C.V.","Release the power of Data","Visit Website","http://www.derevo.com.mx/","Zapopan, Mexico","50 - 249","20% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/fadd5d8c72f003996bd90600fc06fbdb.png","https://clutch.co/profile/derevo-sa-de-cv"
"Idea Usher","Ushering in Innovation","Visit Website","https://ideausher.com/","Sahibzada Ajit Singh Nagar, India","50 - 249","25% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/13944680e0d8724fecd3a19ea881c633.png","https://clutch.co/profile/idea-usher"
"AppsWise Technologies","Application wise technologies implementaion!","Visit Website","https://appswise.com/","Bengaluru, India","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/5e017f2c4f173b3ab6c35350ffd1d222.png","https://clutch.co/profile/appswise-technologies"
"Arbusta","Developing talent while delivering QA service","Visit Website","http://arbusta.net/","Ciudad Autonoma de Buenos Aires, Argentina","250 - 999","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/c12f9e654f61d0cec5824cc808c8bedc.jpeg","https://clutch.co/profile/arbusta"
"kaliedoscopik.co - Out Of Business","for creative minds","Visit Website","http://kaliedoscopik.co/","Thiruvananthapuram, India","2 - 9","30% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/celestino1.png","https://clutch.co/profile/kaliedoscopikco-out-business"
"Telexar","Accelerating Innovative Solutions","Visit Website","http://www.telexarsoftware.com/","Moratuwa, Sri Lanka","10 - 49","20% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/android-chrome-512x512.png","https://clutch.co/profile/telexar"
"Visiqua","Real Leads, Real Customers, Real Sales","Visit Website","http://visiqua.com/","Boulder, CO","10 - 49","15% Artificial Intelligence","$250,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/9effcd524fbbc0f9ddda9f06a8304f54.png","https://clutch.co/profile/visiqua"
"SOFTWARE ESTRATÉGICO S.A.S.","Digital and cognitive transformation","Visit Website","https://softwareestrategico.com/","Sabaneta, Colombia","50 - 249","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4ef4dd377793b85b7e15cf1b55944ed9.png","https://clutch.co/profile/software-estrat%C3%A9gico-sas"
"Webtunix AI","Responsible AI","Visit Website","https://www.webtunix.com/","Sahibzada Ajit Singh Nagar, India","50 - 249","50% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/7077a70604815196c69de7169d203c5b.png","https://clutch.co/profile/webtunix-ai"
"Etéreo","High performant software agency.","Visit Website","http://etereo.io/","Madrid, Spain","10 - 49","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4eaa1dc17f92b53839a08f0f7e9d6d6f.svg","https://clutch.co/profile/et%C3%A9reo-0"
"codecreed","Web, Mobile, AI Development & Consulting","Visit Website","https://www.codecreed.dev/","Poznań, Poland","2 - 9","15% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/6ef0bcb5d62dc70cd0367a9eac99e352.png","https://clutch.co/profile/codecreed"
"iOPTIME","Salesforce partners and AI consultants","Visit Website","https://ioptime.com/","Islamabad, Pakistan","10 - 49","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/56037f78ab75b98f61c10a471e00e7eb.png","https://clutch.co/profile/ioptime-0"
"Granjur Technologies","Where Quality is the priority","Visit Website","http://granjur.com/","Mississauga, Canada","10 - 49","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/50c452d27270fb55d0c4b3a853c6206e.png","https://clutch.co/profile/granjur-technologies"
"Calculation Consulting","Machine Learning and AI Experts","Visit Website","http://calculationconsulting.com/","San Francisco, CA","2 - 9","75% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4150431_1.png","https://clutch.co/profile/calculation-consulting"
"SoftCircles","RELATE. IDEATE. TECHNOVATE. FACILITATE!","Visit Website","https://www.softcircles.com/","Brooklyn, NY","10 - 49","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/cd2c8a5a07c9859ad41e90c71a5ac3fc_0.png","https://clutch.co/profile/softcircles"
"Centroida","Deep Learning Applied","Visit Website","http://www.centroida.ai/","Sofia, Bulgaria","50 - 249","90% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/22491758_2081830075371293_2947891130088910951_n.jpg","https://clutch.co/profile/centroida"
"Prostir","Outsource with confidence","Visit Website","https://prostir.one/","Tallinn, Estonia","2 - 9","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/prostir_sq_trnsp_1.png","https://clutch.co/profile/prostir"
"Techs","Building web apps that work as You need","Visit Website","https://www.itstartechs.com/","Oleśnica, Poland","2 - 9","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/53dbb190d1f5e23c7ecea6a60b11e851.jpeg","https://clutch.co/profile/techs"
"Appsord","State of the Art Mobile App Development","Visit Website","http://www.appsord.com/","Alwar, India","2 - 9","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/200x100_0.png","https://clutch.co/profile/appsord"
"Dreamsoft Innovations Private Limited","AR | VR | Flutter App | Web | Game Development","Visit Website","https://dreamsoftin.com/","Chennai, India","2 - 9","10% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/2de3342795f4954e277b1c78736cf5d1.jpeg","https://clutch.co/profile/dreamsoft-innovations-private"
"Idexcel","Focus, Service, Ethics, Excellence","Visit Website","http://www.idexcel.com/","Herndon, VA","250 - 999","15% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/idexcel.jpg","https://clutch.co/profile/idexcel"
"ALTEN Calsoft Labs","Innovate. Integrate. Transform","Visit Website","http://www.altencalsoftlabs.com/","Bengaluru, India","1,000 - 9,999","15% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/acl.png","https://clutch.co/profile/alten-calsoft-labs"
"ArtLabs","Creating Apps powered with Machine Learning","Visit Website","https://www.artlabs.tech/","Moskva, Russia","10 - 49","60% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/9ba9421ef332a53d52733ed76cca6bec.png","https://clutch.co/profile/artlabs-0"
"NALT Analytics","Enable,Transform Business using AI","Visit Website","https://www.naltanalytics.ai/","Bengaluru, India","2 - 9","100% Artificial Intelligence","Undisclosed","https://clutch.co/developers/artificial-intelligence?page=17","https://clutch.co/profile/nalt-analytics"
"[x]cube LABS","Digital Natives at Work","Visit Website","https://www.xcubelabs.com/","Dallas, TX","250 - 999","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/x_cube_labs.png","https://clutch.co/profile/xcube-labs"
"Arus Defence","A leading enterprise AI software provider","Visit Website","http://www.arusdefence.com/","Madrid, Spain","10 - 49","60% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/255512018ab0e626aa78b4d0cbc3cc10.png","https://clutch.co/profile/arus-defence"
"NorthBay","Transforming Data & Applications on AWS","Visit Website","http://www.northbaysolutions.com/","Boston, MA","250 - 999","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/nbs_logo_square1.png","https://clutch.co/profile/northbay"
"Gramener Technology Solutions","Data Science Consulting and AI Company","Visit Website","https://gramener.com/","Hyderabad, India","50 - 249","20% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/7c1288cdfcbf8f234db5a561a8401721.png","https://clutch.co/profile/gramener-technology-solutions"
"ONPASSIVE","AI Platform for Businesses","Visit Website","https://onpassive.com/","Orlando, FL","50 - 249","40% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/83031aa12e6b4509e22cd622c7bc779e.jpeg","https://clutch.co/profile/onpassive"
"TechBridge Consultancy Services LLP","Cloud,UC,SaaS,OSS,Network Application & Services","Visit Website","http://www.tech-bridge.biz/","Gurugram, India","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/50f209f54253c02ee8c496b3af62e8ed.jpeg","https://clutch.co/profile/techbridge-consultancy-services-llp"
"Kotwel","Aim To Innovate","Visit Website","https://kotwel.com/","Ho Chi Minh City, Vietnam","50 - 249","40% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/af8eb2d865a8786236689b16446ddc2a.jpg","https://clutch.co/profile/kotwel"
"Venice Consulting Group","Application Development and Nearshore Outsourcing","Visit Website","http://www.veniceconsulting.com/","Austin, TX","2 - 9","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo-orange-gradient.png","https://clutch.co/profile/venice-consulting-group"
"Livares Technologies","Technologies explained in a better way","Visit Website","http://www.livares.com/","Thiruvananthapuram, India","10 - 49","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/14e8851fc014d9d38b1d226907ab6313_0.png","https://clutch.co/profile/livares-technologies"
"Emtec Inc.","Business and Technology Empowered","Visit Website","http://www.emtecinc.com/","Jacksonville, FL","250 - 999","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_tag_color.jpg","https://clutch.co/profile/emtec"
"PSC Group","It's all in the way we listen.","Visit Website","http://www.psclistens.com/","Schaumburg, IL","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/psc.jpg","https://clutch.co/profile/psc-group"
